name	Sample	OTU	effect	mean_Precision	mean_TPR
ALDEx2_wi	500	400	2	0.388213831	0.393125
ALDEx2_wi	500	400	5	0.34585233	0.768375
ALDEx2_wi	500	500	1	0.0025	1.00E-04
ALDEx2_wi	500	500	10	0.320907916	0.8489
ALDEx2_wi	500	500	2	0.382481181	0.3879
ALDEx2_wi	500	500	5	0.349308673	0.7717
ALDEx2_wi	500	800	1	0.005	6.25E-05
ALDEx2_wi	500	800	10	0.392682122	0.6094375
ALDEx2_wi	500	800	2	0.39350208	0.1959375
ALDEx2_wi	500	800	5	0.394357467	0.4873125
Corncob	20	200	1	0.009166667	0.001
Corncob	20	100	1	0.0275	0.005
Corncob	20	100	10	0.312548938	0.27
Corncob	20	100	2	0.184722222	0.033
Corncob	20	100	5	0.302582558	0.151
Corncob	20	1000	1	0.022083333	0.00055
Corncob	20	1000	10	0.398457496	0.0526
Corncob	20	1000	2	0.079487179	0.00155
Corncob	20	1000	5	0.370971027	0.02075
Corncob	20	2000	1	0.008333333	1.00E-04
Corncob	20	2000	10	0.414238251	0.0368
Corncob	20	2000	2	0.106375	0.00165
Corncob	20	2000	5	0.355644526	0.01285
Corncob	20	300	1	0.028333333	0.0015
Corncob	20	300	10	0.398374326	0.105166667
Corncob	20	300	2	0.096416667	0.004166667
Corncob	20	300	5	0.386725802	0.055
Corncob	20	400	1	0.005357143	0.000625
Corncob	20	400	10	0.396918237	0.11075
Corncob	20	400	2	0.093379721	0.0055
Corncob	20	400	5	0.332715791	0.042625
Corncob	20	500	1	0.017916667	6.00E-04
Corncob	20	500	10	0.397065418	0.1151
Corncob	20	500	2	0.156666667	0.0058
Corncob	20	500	5	0.362093538	0.0536
Corncob	20	800	1	0.005	6.25E-05
Corncob	20	800	10	0.374094346	0.0505
Corncob	20	800	2	0.067416667	0.0015
Corncob	20	800	5	0.304932817	0.0195625
Corncob	20	200	2	0.124761905	0.00975
Corncob	20	200	5	0.386016511	0.08625
Corncob	20	200	10	0.378755037	0.1725
Corncob	50	100	1	0.010833333	0.002
Corncob	50	100	10	0.262487426	0.6565
Corncob	50	100	2	0.224428571	0.0545
Corncob	50	100	5	0.310002656	0.409
Corncob	50	1000	1	0.0075	2.00E-04
Corncob	50	1000	10	0.405424835	0.1744
Corncob	50	1000	2	0.146365079	0.003
Corncob	50	1000	5	0.399463268	0.07315
Corncob	50	200	1	0.006666667	5.00E-04
