name	Sample	OTU	effect	mean_TPR	mean_FPR
AAnew_TSS	300	2000	1	0.0477	0.158155556
AAnew_TSS	500	2000	1	0.0299	0.130422222
AAnew_TSS	20	2000	2	0.362864583	0.20009838
AAnew_TSS	50	2000	2	0.3424	0.256966667
AAnew_TSS	100	2000	2	0.27215	0.167916667
AAnew_TSS	200	2000	2	0.2312	0.121422222
AAnew_TSS	300	2000	2	0.1943	0.092266667
AAnew_TSS	500	2000	2	0.16925	0.0565
AAnew_TSS	20	2000	5	0.615677083	0.163009259
AAnew_TSS	50	2000	5	0.6872	0.1996
AAnew_TSS	100	2000	5	0.7213	0.112422222
AAnew_TSS	200	2000	5	0.77965	0.064977778
AAnew_TSS	300	2000	5	0.79055	0.043694444
AAnew_TSS	500	2000	5	0.84215	0.020383333
AAnew_TSS	20	2000	10	0.70787234	0.12391253
AAnew_TSS	50	2000	10	0.8157	0.155277778
AAnew_TSS	100	2000	10	0.8871	0.084338889
AAnew_TSS	200	2000	10	0.94155	0.039844444
AAnew_TSS	300	2000	10	0.9624	0.0239
AAnew_TSS	500	2000	10	0.97755	0.010872222
ALDEx2_wi	20	100	1	0	0
ALDEx2_wi	20	100	10	0.259	0.00485
ALDEx2_wi	20	100	2	0.0065	0.000116667
ALDEx2_wi	20	100	5	0.1385	0.002261111
ALDEx2_wi	20	1000	1	0	0
ALDEx2_wi	20	1000	10	0.0225	0.0039
ALDEx2_wi	20	1000	2	5.00E-05	1.11E-05
ALDEx2_wi	20	1000	5	0.00495	0.000755556
ALDEx2_wi	20	200	1	0	5.56E+06
ALDEx2_wi	20	2000	1	0	0
ALDEx2_wi	20	2000	10	0.013075	0.004061111
ALDEx2_wi	20	2000	2	0.000125	2.78E-05
ALDEx2_wi	20	2000	5	0.002375	0.000861111
ALDEx2_wi	20	300	1	0	0
ALDEx2_wi	20	300	10	0.0765	0.004183333
ALDEx2_wi	20	300	2	0.000666667	6.67E-05
ALDEx2_wi	20	300	5	0.024333333	0.001116667
ALDEx2_wi	20	400	1	0.000125	0
ALDEx2_wi	20	400	10	0.07925	0.005177778
ALDEx2_wi	20	400	2	0.000625	7.22E-05
ALDEx2_wi	20	400	5	0.021	0.0015
ALDEx2_wi	20	500	1	0	0
ALDEx2_wi	20	500	10	0.0783	0.006755556
ALDEx2_wi	20	500	2	3.00E-04	1.11E-05
ALDEx2_wi	20	500	5	0.0232	0.001644444
ALDEx2_wi	20	800	1	0	0
ALDEx2_wi	20	800	10	0.02575	0.003316667
ALDEx2_wi	20	800	2	0	1.67E-05
ALDEx2_wi	20	800	5	0.0049375	0.000694444
ALDEx2_wi	20	200	2	0.0015	5.00E-05
ALDEx2_wi	20	200	5	0.04875	0.001638889
ALDEx2_wi	20	200	10	0.15175	0.0051
ALDEx2_wi	50	100	1	0	2.78E-05
ALDEx2_wi	50	100	10	0.5135	0.010688889
ALDEx2_wi	50	100	2	0.061	0.001177778
ALDEx2_wi	50	100	5	0.372	0.0073
ALDEx2_wi	50	1000	1	0	0
ALDEx2_wi	50	1000	10	0.16565	0.026538889
ALDEx2_wi	50	1000	2	0.0022	0.000372222
ALDEx2_wi	50	1000	5	0.07125	0.011894444
ALDEx2_wi	50	200	1	0.00025	5.56E+06
ALDEx2_wi	50	200	10	0.453	0.016472222
ALDEx2_wi	50	200	2	0.02525	0.000838889
ALDEx2_wi	50	200	5	0.2875	0.009383333
ALDEx2_wi	50	2000	1	0	0
ALDEx2_wi	50	2000	10	0.104	0.034394444
ALDEx2_wi	50	2000	2	0.000925	0.000422222
ALDEx2_wi	50	2000	5	0.04265	0.015116667
ALDEx2_wi	50	300	1	0	0
ALDEx2_wi	50	300	10	0.3635	0.018855556
ALDEx2_wi	50	300	2	0.007333333	0.000427778
ALDEx2_wi	50	300	5	0.181333333	0.009238889
ALDEx2_wi	50	400	1	0	0
ALDEx2_wi	50	400	10	0.3575	0.024805556
ALDEx2_wi	50	400	2	0.007125	0.000566667
ALDEx2_wi	50	400	5	0.188875	0.012427778
ALDEx2_wi	50	500	1	0	5.56E+06
ALDEx2_wi	50	500	10	0.3658	0.031055556
ALDEx2_wi	50	500	2	0.0092	8.00E-04
ALDEx2_wi	50	500	5	0.1888	0.016433333
ALDEx2_wi	50	800	1	0	0
ALDEx2_wi	50	800	10	0.163	0.021838889
ALDEx2_wi	50	800	2	0.0015625	0.000222222
ALDEx2_wi	50	800	5	0.070875	0.009722222
ALDEx2_wi	100	100	1	0	1.67E-05
ALDEx2_wi	100	100	10	0.6935	0.018811111
ALDEx2_wi	100	100	2	0.2265	0.003888889
ALDEx2_wi	100	100	5	0.5025	0.011105556
ALDEx2_wi	100	1000	1	0	0
ALDEx2_wi	100	1000	10	0.297	0.048833333
ALDEx2_wi	100	1000	2	0.01395	0.002355556
ALDEx2_wi	100	1000	5	0.18585	0.03105
ALDEx2_wi	100	200	1	0	5.56E+06
ALDEx2_wi	100	200	10	0.664	0.026344444
ALDEx2_wi	100	200	2	0.10625	0.00375
ALDEx2_wi	100	200	5	0.475	0.0173
ALDEx2_wi	100	2000	1	0	0
ALDEx2_wi	100	2000	10	0.194175	0.064805556
ALDEx2_wi	100	2000	2	0.007625	0.002788889
ALDEx2_wi	100	2000	5	0.118675	0.039616667
ALDEx2_wi	100	300	1	0	0
ALDEx2_wi	100	300	10	0.5635	0.030755556
ALDEx2_wi	100	300	2	0.061166667	0.002916667
ALDEx2_wi	100	300	5	0.3895	0.019955556
ALDEx2_wi	100	400	1	0	0
ALDEx2_wi	100	400	10	0.57875	0.041222222
ALDEx2_wi	100	400	2	0.050375	0.003372222
ALDEx2_wi	100	400	5	0.381	0.027183333
ALDEx2_wi	100	500	1	0	1.11E-05
ALDEx2_wi	100	500	10	0.566	0.0513
ALDEx2_wi	100	500	2	0.0565	0.004816667
ALDEx2_wi	100	500	5	0.38	0.034188889
ALDEx2_wi	100	800	1	0	0
ALDEx2_wi	100	800	10	0.3015625	0.040261111
ALDEx2_wi	100	800	2	0.0164375	0.002066667
ALDEx2_wi	100	800	5	0.1870625	0.02525
ALDEx2_wi	200	100	1	5.00E-04	3.33E-05
ALDEx2_wi	200	100	10	0.877	0.029033333
ALDEx2_wi	200	100	2	0.346	0.006866667
ALDEx2_wi	200	100	5	0.705	0.018266667
ALDEx2_wi	200	1000	1	5.00E-05	0
ALDEx2_wi	200	1000	10	0.4385	0.072416667
ALDEx2_wi	200	1000	2	0.06635	0.0114
ALDEx2_wi	200	1000	5	0.30535	0.052438889
ALDEx2_wi	200	200	1	0	1.11E-05
ALDEx2_wi	200	200	10	0.80275	0.037388889
ALDEx2_wi	200	200	2	0.251	0.00875
ALDEx2_wi	200	200	5	0.6675	0.026711111
ALDEx2_wi	200	2000	1	0	0
ALDEx2_wi	200	2000	10	0.289725	0.096722222
