name	Sample	OTU	type	effect	mean_Precision	mean_TPR
AAnew_TSS	100	1000	rare	1	0.148191697	0.2343
AAnew_TSS	200	1000	rare	1	0.152652739	0.1577
AAnew_TSS	300	1000	rare	1	0.163097009	0.1337
AAnew_TSS	500	1000	rare	1	0.183181308	0.1157
AAnew_TSS	20	1000	rare	2	0.124966294	0.327604167
AAnew_TSS	50	1000	rare	2	0.190246232	0.5013
AAnew_TSS	100	1000	rare	2	0.272407733	0.4881
AAnew_TSS	200	1000	rare	2	0.356347984	0.4905
AAnew_TSS	300	1000	rare	2	0.442769915	0.5185
AAnew_TSS	500	1000	rare	2	0.548001616	0.6222
AAnew_TSS	20	1000	rare	5	0.159966489	0.436666667
AAnew_TSS	50	1000	rare	5	0.255250931	0.722
AAnew_TSS	100	1000	rare	5	0.401413018	0.8197
AAnew_TSS	200	1000	rare	5	0.517720351	0.9213
AAnew_TSS	300	1000	rare	5	0.60796892	0.9618
AAnew_TSS	500	1000	rare	5	0.675040241	0.9922
AAnew_TSS	20	1000	rare	10	0.180652757	0.512210526
AAnew_TSS	50	1000	rare	10	0.27955631	0.8074
AAnew_TSS	100	1000	rare	10	0.41325477	0.9167
AAnew_TSS	200	1000	rare	10	0.554143543	0.9785
AAnew_TSS	300	1000	rare	10	0.625009366	0.9939
AAnew_TSS	500	1000	rare	10	0.681847882	0.9997
AAnew_TSS	20	2000	rare	1	0.084643183	0.197765957
AAnew_TSS	50	2000	rare	1	0.123276326	0.3545
AAnew_TSS	100	2000	rare	1	0.13620384	0.282
AAnew_TSS	200	2000	rare	1	0.14762107	0.2492
AAnew_TSS	300	2000	rare	1	0.155169018	0.2267
AAnew_TSS	500	2000	rare	1	0.170546884	0.19665
AAnew_TSS	20	2000	rare	2	0.106730268	0.253092784
AAnew_TSS	50	2000	rare	2	0.157785277	0.4737
AAnew_TSS	100	2000	rare	2	0.221070575	0.489
AAnew_TSS	200	2000	rare	2	0.282471417	0.55275
AAnew_TSS	300	2000	rare	2	0.338804674	0.59225
AAnew_TSS	500	2000	rare	2	0.437495118	0.6645
AAnew_TSS	20	2000	rare	5	0.129474388	0.311875
AAnew_TSS	50	2000	rare	5	0.194948886	0.6072
AAnew_TSS	100	2000	rare	5	0.289542444	0.7337
AAnew_TSS	200	2000	rare	5	0.396516302	0.8772
AAnew_TSS	300	2000	rare	5	0.452061181	0.94065
AAnew_TSS	500	2000	rare	5	0.528324421	0.98215
AAnew_TSS	20	2000	rare	10	0.14639156	0.356263158
AAnew_TSS	50	2000	rare	10	0.210004872	0.6742
AAnew_TSS	100	2000	rare	10	0.311396645	0.8085
AAnew_TSS	200	2000	rare	10	0.411731235	0.9343
AAnew_TSS	300	2000	rare	10	0.471738155	0.976
AAnew_TSS	500	2000	rare	10	0.517816211	0.9961
ALDEx2_wi	100	100	rare	1	0	0
ALDEx2_wi	100	100	rare	10	0.30714652	0.1295
ALDEx2_wi	100	100	rare	2	0.04	0.004
ALDEx2_wi	100	100	rare	5	0.271952381	0.072
ALDEx2_wi	20	100	rare	1	0	0
ALDEx2_wi	20	100	rare	10	0.037666667	0.0045
ALDEx2_wi	20	100	rare	2	0	0
ALDEx2_wi	20	100	rare	5	0	0
ALDEx2_wi	200	100	rare	1	0	0
ALDEx2_wi	200	100	rare	10	0.287038655	0.1825
ALDEx2_wi	200	100	rare	2	0.201166667	0.0335
ALDEx2_wi	200	100	rare	5	0.283238817	0.123
ALDEx2_wi	300	100	rare	1	0	0
ALDEx2_wi	300	100	rare	10	0.247951206	0.225
ALDEx2_wi	300	100	rare	2	0.259583333	0.049
ALDEx2_wi	300	100	rare	5	0.276765751	0.1585
ALDEx2_wi	50	100	rare	1	0	0
ALDEx2_wi	50	100	rare	10	0.222428571	0.051
ALDEx2_wi	50	100	rare	2	0.005	5.00E-04
ALDEx2_wi	50	100	rare	5	0.129583333	0.0185
ALDEx2_wi	500	100	rare	1	0	0
ALDEx2_wi	500	100	rare	10	0.179243484	0.2405
ALDEx2_wi	500	100	rare	2	0.292071429	0.078
ALDEx2_wi	500	100	rare	5	0.247630179	0.1995
ALDEx2_wi	100	1000	rare	1	0	0
ALDEx2_wi	100	1000	rare	10	0	0
ALDEx2_wi	100	1000	rare	2	0	0
ALDEx2_wi	100	1000	rare	5	0	0
ALDEx2_wi	20	1000	rare	1	0	0
ALDEx2_wi	20	1000	rare	10	0	0
ALDEx2_wi	20	1000	rare	2	0	0
ALDEx2_wi	20	1000	rare	5	0	0
ALDEx2_wi	200	1000	rare	1	0	0
ALDEx2_wi	200	1000	rare	10	0	0
ALDEx2_wi	200	1000	rare	2	0	0
ALDEx2_wi	200	1000	rare	5	0	0
ALDEx2_wi	300	1000	rare	1	0	0
ALDEx2_wi	300	1000	rare	10	0	0
ALDEx2_wi	300	1000	rare	2	0	0
ALDEx2_wi	300	1000	rare	5	0	0
ALDEx2_wi	50	1000	rare	1	0	0
ALDEx2_wi	50	1000	rare	10	0	0
ALDEx2_wi	50	1000	rare	2	0	0
ALDEx2_wi	50	1000	rare	5	0	0
ALDEx2_wi	500	1000	rare	1	0	0
ALDEx2_wi	500	1000	rare	10	0	0
ALDEx2_wi	500	1000	rare	2	0	0
ALDEx2_wi	500	1000	rare	5	0	0
ALDEx2_wi	100	200	rare	1	0	0
ALDEx2_wi	100	200	rare	10	0.005	0.00025
ALDEx2_wi	100	200	rare	2	0	0
ALDEx2_wi	100	200	rare	5	0	0
ALDEx2_wi	20	200	rare	1	0	0
ALDEx2_wi	20	200	rare	10	0	0
ALDEx2_wi	20	200	rare	2	0	0
ALDEx2_wi	20	200	rare	5	0	0
ALDEx2_wi	200	200	rare	1	0	0
ALDEx2_wi	200	200	rare	10	0.125833333	0.01025
ALDEx2_wi	200	200	rare	2	0	0
ALDEx2_wi	200	200	rare	5	0.03	0.00175
ALDEx2_wi	300	200	rare	1	0	0
ALDEx2_wi	300	200	rare	10	0.236990079	0.03025
ALDEx2_wi	300	200	rare	2	0	0
ALDEx2_wi	300	200	rare	5	0.123083333	0.008
ALDEx2_wi	50	200	rare	1	0	0
ALDEx2_wi	50	200	rare	10	0	0
ALDEx2_wi	50	200	rare	2	0	0
ALDEx2_wi	50	200	rare	5	0	0
ALDEx2_wi	500	200	rare	1	0	0
ALDEx2_wi	500	200	rare	10	0	0
ALDEx2_wi	500	200	rare	2	0	0
ALDEx2_wi	500	200	rare	5	0	0
ALDEx2_wi	100	2000	rare	1	0	0
ALDEx2_wi	100	2000	rare	10	0	0
ALDEx2_wi	100	2000	rare	2	0	0
ALDEx2_wi	100	2000	rare	5	0	0
ALDEx2_wi	20	2000	rare	1	0	0
ALDEx2_wi	20	2000	rare	10	0	0
ALDEx2_wi	20	2000	rare	2	0	0
ALDEx2_wi	20	2000	rare	5	0	0
ALDEx2_wi	200	2000	rare	1	0	0
ALDEx2_wi	200	2000	rare	10	0	0
ALDEx2_wi	200	2000	rare	2	0	0
ALDEx2_wi	200	2000	rare	5	0	0
ALDEx2_wi	300	2000	rare	1	0	0
ALDEx2_wi	300	2000	rare	10	0	0
ALDEx2_wi	300	2000	rare	2	0	0
ALDEx2_wi	300	2000	rare	5	0	0
ALDEx2_wi	50	2000	rare	1	0	0
ALDEx2_wi	50	2000	rare	10	0	0
ALDEx2_wi	50	2000	rare	2	0	0
ALDEx2_wi	50	2000	rare	5	0	0
ALDEx2_wi	500	2000	rare	1	0	0
ALDEx2_wi	500	2000	rare	10	0	0
ALDEx2_wi	500	2000	rare	2	0	0
ALDEx2_wi	500	2000	rare	5	0	0
ALDEx2_wi	100	300	rare	1	0	0
ALDEx2_wi	100	300	rare	10	0	0
ALDEx2_wi	100	300	rare	2	0	0
ALDEx2_wi	100	300	rare	5	0	0
ALDEx2_wi	20	300	rare	1	0	0
ALDEx2_wi	20	300	rare	10	0	0
ALDEx2_wi	20	300	rare	2	0	0
ALDEx2_wi	20	300	rare	5	0	0
ALDEx2_wi	200	300	rare	1	0	0
ALDEx2_wi	200	300	rare	10	0	0
ALDEx2_wi	200	300	rare	2	0	0
ALDEx2_wi	200	300	rare	5	0	0
ALDEx2_wi	300	300	rare	1	0	0
ALDEx2_wi	300	300	rare	10	0.0175	0.000666667
ALDEx2_wi	300	300	rare	2	0	0
ALDEx2_wi	300	300	rare	5	0.0025	0.000166667
ALDEx2_wi	50	300	rare	1	0	0
ALDEx2_wi	50	300	rare	10	0	0
ALDEx2_wi	50	300	rare	2	0	0
ALDEx2_wi	50	300	rare	5	0	0
ALDEx2_wi	500	300	rare	1	0	0
ALDEx2_wi	500	300	rare	10	0.084583333	0.004
ALDEx2_wi	500	300	rare	2	0	0
ALDEx2_wi	500	300	rare	5	0.005	0.000166667
ALDEx2_wi	100	400	rare	1	0	0
ALDEx2_wi	100	400	rare	10	0	0
ALDEx2_wi	100	400	rare	2	0	0
ALDEx2_wi	100	400	rare	5	0	0
ALDEx2_wi	20	400	rare	1	0	0
ALDEx2_wi	20	400	rare	10	0	0
ALDEx2_wi	20	400	rare	2	0	0
ALDEx2_wi	20	400	rare	5	0	0
ALDEx2_wi	200	400	rare	1	0	0
ALDEx2_wi	200	400	rare	10	0	0
ALDEx2_wi	200	400	rare	2	0	0
ALDEx2_wi	200	400	rare	5	0	0
ALDEx2_wi	300	400	rare	1	0	0
ALDEx2_wi	300	400	rare	10	0.01	0.00025
ALDEx2_wi	300	400	rare	2	0	0
ALDEx2_wi	300	400	rare	5	0	0
ALDEx2_wi	50	400	rare	1	0	0
ALDEx2_wi	50	400	rare	10	0	0
ALDEx2_wi	50	400	rare	2	0	0
ALDEx2_wi	50	400	rare	5	0	0
ALDEx2_wi	500	400	rare	1	0	0
ALDEx2_wi	500	400	rare	10	0.07	0.002875
ALDEx2_wi	500	400	rare	2	0	0
ALDEx2_wi	500	400	rare	5	0.005	0.000125
ALDEx2_wi	100	500	rare	1	0	0
ALDEx2_wi	100	500	rare	10	0	0
ALDEx2_wi	100	500	rare	2	0	0
ALDEx2_wi	100	500	rare	5	0	0
ALDEx2_wi	20	500	rare	1	0	0
ALDEx2_wi	20	500	rare	10	0	0
ALDEx2_wi	20	500	rare	2	0	0
ALDEx2_wi	20	500	rare	5	0	0
ALDEx2_wi	200	500	rare	1	0	0
ALDEx2_wi	200	500	rare	10	0	0
ALDEx2_wi	200	500	rare	2	0	0
ALDEx2_wi	200	500	rare	5	0	0
ALDEx2_wi	300	500	rare	1	0	0
ALDEx2_wi	300	500	rare	10	0.005	1.00E-04
ALDEx2_wi	300	500	rare	2	0	0
ALDEx2_wi	300	500	rare	5	0	0
ALDEx2_wi	50	500	rare	1	0	0
ALDEx2_wi	50	500	rare	10	0	0
ALDEx2_wi	50	500	rare	2	0	0
ALDEx2_wi	50	500	rare	5	0	0
ALDEx2_wi	500	500	rare	1	0	0
ALDEx2_wi	500	500	rare	10	0.06575	0.0022
ALDEx2_wi	500	500	rare	2	0	0
ALDEx2_wi	500	500	rare	5	0.01	2.00E-04
ALDEx2_wi	100	800	rare	1	0	0
ALDEx2_wi	100	800	rare	10	0	0
ALDEx2_wi	100	800	rare	2	0	0
ALDEx2_wi	100	800	rare	5	0	0
ALDEx2_wi	20	800	rare	1	0	0
ALDEx2_wi	20	800	rare	10	0	0
ALDEx2_wi	20	800	rare	2	0	0
ALDEx2_wi	20	800	rare	5	0	0
ALDEx2_wi	200	800	rare	1	0	0
ALDEx2_wi	200	800	rare	10	0	0
ALDEx2_wi	200	800	rare	2	0	0
ALDEx2_wi	200	800	rare	5	0	0
ALDEx2_wi	300	800	rare	1	0	0
ALDEx2_wi	300	800	rare	10	0	0
ALDEx2_wi	300	800	rare	2	0	0
ALDEx2_wi	300	800	rare	5	0	0
ALDEx2_wi	50	800	rare	1	0	0
ALDEx2_wi	50	800	rare	10	0	0
ALDEx2_wi	50	800	rare	2	0	0
ALDEx2_wi	50	800	rare	5	0	0
ALDEx2_wi	500	800	rare	1	0	0
ALDEx2_wi	500	800	rare	10	0	0
ALDEx2_wi	500	800	rare	2	0	0
ALDEx2_wi	500	800	rare	5	0	0
Corncob	100	100	rare	1	0	0
Corncob	100	100	rare	10	0.298609127	0.171
Corncob	100	100	rare	2	0.0325	0.004
Corncob	100	100	rare	5	0.27205754	0.0915
Corncob	20	100	rare	1	0	0
Corncob	20	100	rare	10	0.028222222	0.0045
Corncob	20	100	rare	2	0	0
Corncob	20	100	rare	5	0	0
Corncob	200	100	rare	1	0.005	5.00E-04
Corncob	200	100	rare	10	0.301150572	0.2385
Corncob	200	100	rare	2	0.211666667	0.0365
Corncob	200	100	rare	5	0.284332251	0.159
Corncob	300	100	rare	1	0.005	5.00E-04
Corncob	300	100	rare	10	0.305374647	0.2845
Corncob	300	100	rare	2	0.243019841	0.055
Corncob	300	100	rare	5	0.307115551	0.216
Corncob	50	100	rare	1	0	0
Corncob	50	100	rare	10	0.217180736	0.0565
Corncob	50	100	rare	2	0.005	5.00E-04
Corncob	50	100	rare	5	0.122083333	0.018
Corncob	500	100	rare	1	0	0
Corncob	500	100	rare	10	0.268108061	0.285
Corncob	500	100	rare	2	0.282190476	0.0975
Corncob	500	100	rare	5	0.291850469	0.25
Corncob	100	1000	rare	1	0	0
Corncob	100	1000	rare	10	0	0
Corncob	100	1000	rare	2	0	0
Corncob	100	1000	rare	5	0	0
Corncob	20	1000	rare	1	0	0
Corncob	20	1000	rare	10	0	0
Corncob	20	1000	rare	2	0	0
Corncob	20	1000	rare	5	0	0
Corncob	200	1000	rare	1	0	0
Corncob	200	1000	rare	10	0	0
Corncob	200	1000	rare	2	0	0
Corncob	200	1000	rare	5	0	0
Corncob	300	1000	rare	1	0	0
Corncob	300	1000	rare	10	0.015	0.00015
Corncob	300	1000	rare	2	0	0
Corncob	300	1000	rare	5	0	0
Corncob	50	1000	rare	1	0	0
Corncob	50	1000	rare	10	0	0
Corncob	50	1000	rare	2	0	0
Corncob	50	1000	rare	5	0	0
Corncob	500	1000	rare	1	0	0
Corncob	500	1000	rare	10	0.216985767	0.04135
Corncob	500	1000	rare	2	0	0
Corncob	500	1000	rare	5	0.129080539	0.00725
Corncob	100	200	rare	1	0	0
Corncob	100	200	rare	10	0.130083333	0.0135
Corncob	100	200	rare	2	0.005	0.00025
Corncob	100	200	rare	5	0.036428571	0.0025
Corncob	20	200	rare	1	0	0
Corncob	20	200	rare	10	0	0
Corncob	20	200	rare	2	0	0
Corncob	20	200	rare	5	0	0
Corncob	200	200	rare	1	0	0
Corncob	200	200	rare	10	0.263297224	0.11
Corncob	200	200	rare	2	0.02	0.001
Corncob	200	200	rare	5	0.198813492	0.034
Corncob	300	200	rare	1	0	0
Corncob	300	200	rare	10	0.257336041	0.16775
Corncob	300	200	rare	2	0.031964286	0.00225
Corncob	300	200	rare	5	0.243748904	0.08025
Corncob	50	200	rare	1	0	0
Corncob	50	200	rare	10	0	0
