name	Sample	OTU	type	effect	mean_TPR	mean_FPR
ALDEx2_wi	200	1000	rare	1	0	3.33E-05
ALDEx2_wi	200	1000	rare	10	0	0
ALDEx2_wi	200	1000	rare	2	0	0
ALDEx2_wi	200	1000	rare	5	0	0
ALDEx2_wi	300	1000	rare	1	0	5.56E-06
ALDEx2_wi	300	1000	rare	10	0	0
ALDEx2_wi	300	1000	rare	2	0	1.11E-05
ALDEx2_wi	300	1000	rare	5	0	1.11E-05
ALDEx2_wi	50	1000	rare	1	0	0
ALDEx2_wi	50	1000	rare	10	0	0
ALDEx2_wi	50	1000	rare	2	0	0
ALDEx2_wi	50	1000	rare	5	0	5.56E-06
ALDEx2_wi	500	1000	rare	1	0	0
ALDEx2_wi	500	1000	rare	10	0	0
ALDEx2_wi	500	1000	rare	2	0	0
ALDEx2_wi	500	1000	rare	5	0	1.11E-05
ALDEx2_wi	100	200	rare	1	0	2.22E-05
ALDEx2_wi	100	200	rare	10	0.00025	5.00E-05
ALDEx2_wi	100	200	rare	2	0	0
ALDEx2_wi	100	200	rare	5	0	1.67E-05
ALDEx2_wi	20	200	rare	1	0	5.56E-06
ALDEx2_wi	20	200	rare	10	0	5.56E-06
ALDEx2_wi	20	200	rare	2	0	0
ALDEx2_wi	20	200	rare	5	0	1.11E-05
ALDEx2_wi	200	200	rare	1	0	1.11E-05
ALDEx2_wi	200	200	rare	10	0.01025	0.000677778
ALDEx2_wi	200	200	rare	2	0	5.56E-06
ALDEx2_wi	200	200	rare	5	0.00175	0.000116667
ALDEx2_wi	300	200	rare	1	0	5.56E-06
ALDEx2_wi	300	200	rare	10	0.03025	0.001805556
ALDEx2_wi	300	200	rare	2	0	3.89E-05
ALDEx2_wi	300	200	rare	5	0.008	0.000377778
ALDEx2_wi	50	200	rare	1	0	5.56E-06
ALDEx2_wi	50	200	rare	10	0	5.56E-05
ALDEx2_wi	50	200	rare	2	0	4.44E-05
ALDEx2_wi	50	200	rare	5	0	3.33E-05
ALDEx2_wi	500	200	rare	1	0	0
ALDEx2_wi	500	200	rare	10	0	0.008788889
ALDEx2_wi	500	200	rare	2	0	7.22E-05
ALDEx2_wi	500	200	rare	5	0	0.003577778
ALDEx2_wi	100	2000	rare	1	0	0
ALDEx2_wi	100	2000	rare	10	0	0
ALDEx2_wi	100	2000	rare	2	0	1.67E-05
ALDEx2_wi	100	2000	rare	5	0	2.78E-05
ALDEx2_wi	20	2000	rare	1	0	0
ALDEx2_wi	20	2000	rare	10	0	0
ALDEx2_wi	20	2000	rare	2	0	0
ALDEx2_wi	20	2000	rare	5	0	0
ALDEx2_wi	200	2000	rare	1	0	0
ALDEx2_wi	200	2000	rare	10	0	0
ALDEx2_wi	200	2000	rare	2	0	5.56E-06
ALDEx2_wi	200	2000	rare	5	0	0
ALDEx2_wi	300	2000	rare	1	0	0
ALDEx2_wi	300	2000	rare	10	0	1.11E-05
ALDEx2_wi	300	2000	rare	2	0	0
ALDEx2_wi	300	2000	rare	5	0	0
ALDEx2_wi	50	2000	rare	1	0	0
ALDEx2_wi	50	2000	rare	10	0	0
ALDEx2_wi	50	2000	rare	2	0	0
ALDEx2_wi	50	2000	rare	5	0	0
ALDEx2_wi	500	2000	rare	1	0	0
ALDEx2_wi	500	2000	rare	10	0	4.44E-05
ALDEx2_wi	500	2000	rare	2	0	0
ALDEx2_wi	500	2000	rare	5	0	0
ALDEx2_wi	100	300	rare	1	0	0
ALDEx2_wi	100	300	rare	10	0	1.11E-05
ALDEx2_wi	100	300	rare	2	0	0
ALDEx2_wi	100	300	rare	5	0	0
ALDEx2_wi	20	300	rare	1	0	0
ALDEx2_wi	20	300	rare	10	0	1.11E-05
ALDEx2_wi	20	300	rare	2	0	0
ALDEx2_wi	20	300	rare	5	0	0
ALDEx2_wi	200	300	rare	1	0	5.56E-06
ALDEx2_wi	200	300	rare	10	0	3.33E-05
ALDEx2_wi	200	300	rare	2	0	1.11E-05
ALDEx2_wi	200	300	rare	5	0	5.56E-06
ALDEx2_wi	300	300	rare	1	0	5.56E-06
ALDEx2_wi	300	300	rare	10	0.000666667	7.78E-05
ALDEx2_wi	300	300	rare	2	0	1.11E-05
ALDEx2_wi	300	300	rare	5	0.000166667	1.67E-05
ALDEx2_wi	50	300	rare	1	0	5.56E-06
ALDEx2_wi	50	300	rare	10	0	0
ALDEx2_wi	50	300	rare	2	0	5.56E-06
ALDEx2_wi	50	300	rare	5	0	2.22E-05
ALDEx2_wi	500	300	rare	1	0	4.44E-05
ALDEx2_wi	500	300	rare	10	0.004	0.000538889
ALDEx2_wi	500	300	rare	2	0	1.67E-05
ALDEx2_wi	500	300	rare	5	0.000166667	0.000122222
ALDEx2_wi	100	400	rare	1	0	5.56E-06
ALDEx2_wi	100	400	rare	10	0	0
ALDEx2_wi	100	400	rare	2	0	0
ALDEx2_wi	100	400	rare	5	0	0
ALDEx2_wi	20	400	rare	1	0	1.11E-05
ALDEx2_wi	20	400	rare	10	0	5.56E-06
ALDEx2_wi	20	400	rare	2	0	5.56E-06
ALDEx2_wi	20	400	rare	5	0	1.67E-05
ALDEx2_wi	200	400	rare	1	0	1.11E-05
ALDEx2_wi	200	400	rare	10	0	7.22E-05
ALDEx2_wi	200	400	rare	2	0	0
ALDEx2_wi	200	400	rare	5	0	3.33E-05
ALDEx2_wi	300	400	rare	1	0	2.22E-05
ALDEx2_wi	300	400	rare	10	0.00025	0.000122222
ALDEx2_wi	300	400	rare	2	0	0
ALDEx2_wi	300	400	rare	5	0	2.22E-05
ALDEx2_wi	50	400	rare	1	0	0
ALDEx2_wi	50	400	rare	10	0	0
ALDEx2_wi	50	400	rare	2	0	1.67E-05
ALDEx2_wi	50	400	rare	5	0	1.67E-05
ALDEx2_wi	500	400	rare	1	0	0
ALDEx2_wi	500	400	rare	10	0.002875	0.000716667
ALDEx2_wi	500	400	rare	2	0	0
ALDEx2_wi	500	400	rare	5	0.000125	0.000133333
ALDEx2_wi	100	500	rare	1	0	1.67E-05
