name	Sample	OTU	effect	mean_TPR	mean_FPR
TMM	500	500	2	0.2372	0.001251282
TMM	500	500	5	0.9382	0.001041026
TMM	500	500	10	0.9936	0.000538462
RLE	500	500	1	0.0038	0.002748718
RLE	500	500	2	0.2716	0.003748718
RLE	500	500	5	0.9232	0.001723077
RLE	500	500	10	0.986326531	0.001831502
GMPR	500	500	1	0.0024	0.001841026
GMPR	500	500	2	0.237	0.001241026
GMPR	500	500	5	0.9442	0.001287179
GMPR	500	500	10	0.995	0.000523077
CLR	500	500	1	0	5.13E-06
CLR	500	500	2	0	1.03E-05
CLR	500	500	5	0.012	0
CLR	500	500	10	0.1896	0
ALR	500	500	1	0.0516	0.012574359
ALR	500	500	2	0.0982	0.009148718
ALR	500	500	5	0.2016	0.005523077
ALR	500	500	10	0.3514	0.003025641
TSS	500	500	1	0.003	0.012866667
TSS	500	500	2	0.237	0.006044444
TSS	500	500	5	0.948	0.003577778
TSS	500	500	10	0.9956	0.0022
