name	sample	otu	sampleotu	type	effect	mean_Accuracy	sd_Accuracy	mean_Precision	sd_Precision	mean_TPR	sd_TPR	mean_F1_score	sd_F1_score	mean_FPR	sd_FPR	mean_Specificity	sd_Specificity	mean_FDR	sd_FDR
GMPR	500	500	500_500	abundant	5	0.99735	0.002682246	0.956986457	0.074823885	0.9442	0.042573288	0.948425002	0.046713785	0.001287179	0.002575468	0.998712821	0.002575468	0.043013543	0.074823885
GMPR	50	500	50_500	abundant	10	0.99101	0.003092823	0.772402431	0.074743716	0.9262	0.043734276	0.839552893	0.046135205	0.007328205	0.003306866	0.992671795	0.003306866	0.227597569	0.074743716
GMPR	200	500	200_500	abundant	10	0.998495	0.00246746	0.962041145	0.065907312	0.9852	0.022314556	0.972041374	0.039954301	0.001164103	0.002478075	0.998835897	0.002478075	0.037958855	0.065907312
GMPR	500	500	500_500	abundant	10	0.999365	0.00168003	0.982854842	0.04816421	0.995	0.013142575	0.988220661	0.02879998	0.000523077	0.001652479	0.999476923	0.001652479	0.017145158	0.04816421
GMPR	50	200	50_200	abundant	1	0.981325	0.003347979	0.045603907	0.045429813	0.048	0.052666283	0.045279436	0.046087817	0.009247475	0.003586864	0.990752525	0.003586864	0.954396093	0.045429813
GMPR	200	200	200_200	abundant	1	0.98888	0.00131064	0.073857143	0.201120051	0.0095	0.020955701	0.015846415	0.034771267	0.001227273	0.001335766	0.998772727	0.001335766	0.686142857	0.43460577
GMPR	500	200	500_200	abundant	1	0.989235	0.000705158	0.010833333	0.055118228	0.002	0.009847319	0.003341695	0.016473973	0.000792929	0.000725896	0.999207071	0.000725896	0.709166667	0.447824113
GMPR	50	200	50_200	abundant	2	0.988235	0.002787467	0.41907237	0.151009879	0.337	0.140097369	0.357880915	0.119531757	0.005186869	0.003036974	0.994813131	0.003036974	0.58092763	0.151009879
GMPR	200	200	200_200	abundant	2	0.9923	0.00194105	0.795360754	0.203390165	0.3235	0.161191116	0.439026171	0.176527782	0.000944444	0.00117441	0.999055556	0.00117441	0.204639246	0.203390165
GMPR	500	200	500_200	abundant	2	0.9926	0.001560238	0.854145771	0.199785449	0.305	0.146594335	0.433758396	0.175772187	0.000454545	0.000615426	0.999545455	0.000615426	0.135854229	0.180717336
GMPR	50	200	50_200	abundant	5	0.99456	0.002398737	0.710876476	0.122412817	0.8315	0.10216223	0.757756677	0.091658467	0.003792929	0.002394315	0.996207071	0.002394315	0.289123524	0.122412817
GMPR	200	200	200_200	abundant	5	0.99796	0.001954895	0.913160462	0.12152646	0.902	0.083762531	0.902097932	0.084722667	0.001070707	0.001736657	0.998929293	0.001736657	0.086839538	0.12152646
GMPR	500	200	500_200	abundant	5	0.99838	0.001834187	0.920868994	0.120847623	0.94	0.068534442	0.924906707	0.078582081	0.001030303	0.001706183	0.998969697	0.001706183	0.079131006	0.120847623
GMPR	50	200	50_200	abundant	10	0.997445	0.001859856	0.842682644	0.102315796	0.9435	0.052539067	0.885455468	0.064228512	0.002010101	0.00191946	0.997989899	0.00191946	0.157317356	0.102315796
GMPR	200	200	200_200	abundant	10	0.999285	0.001599013	0.960453663	0.095428944	0.985	0.026111648	0.969373546	0.058815347	0.000570707	0.001631671	0.999429293	0.001631671	0.039546337	0.095428944
GMPR	500	200	500_200	abundant	10	0.99931	0.001525507	0.954759019	0.098819942	0.993	0.020125867	0.970549803	0.060411502	0.000626263	0.001512803	0.999373737	0.001512803	0.045240981	0.098819942
CLR	50	500	50_500	abundant	1	0.87011	0.051222607	0.10831825	0.023824891	0.606	0.3183607	0.174217609	0.048651533	0.123117949	0.060459666	0.876882051	0.060459666	0.89168175	0.023824891
CLR	200	500	200_500	abundant	1	0.974595	0.000638397	0.007666667	0.067312528	6.00E-04	0.00445403	0.00108805	0.008219651	0.000430769	0.00067877	0.999569231	0.00067877	0.452333333	0.497067833
CLR	500	500	500_500	abundant	1	0.974995	5.00E-05	0	0	0	0	0	0	5.13E-06	5.13E-05	0.999994872	5.13E-05	0.01	0.1
CLR	50	500	50_500	abundant	2	0.887615	0.049706607	0.167135515	0.05160305	0.7296	0.306936377	0.242198465	0.054991316	0.108333333	0.058310413	0.891666667	0.058310413	0.832864485	0.05160305
CLR	200	500	200_500	abundant	2	0.974925	0.000269446	0.044	0.200161551	0.0012	0.00555596	0.0022959	0.010499457	0.000107692	0.000285061	0.999892308	0.000285061	0.156	0.361344291
CLR	500	500	500_500	abundant	2	0.97499	1.00E-04	0	0	0	0	0	0	1.03E-05	0.000102564	0.999989744	0.000102564	0.01	0.1
CLR	50	500	50_500	abundant	5	0.9235	0.043712213	0.312456199	0.177884487	0.8336	0.207571431	0.396358551	0.112187379	0.074194872	0.049095465	0.925805128	0.049095465	0.687543801	0.177884487
CLR	200	500	200_500	abundant	5	0.97578	0.000746439	0.691904762	0.457053788	0.032	0.031009936	0.060221902	0.056363687	2.05E-05	0.000100998	0.999979487	0.000100998	0.008095238	0.04102631
CLR	500	500	500_500	abundant	5	0.9753	0.000471405	0.36	0.482418151	0.012	0.018856181	0.023054378	0.035842736	0	0	1	0	0	0
CLR	50	500	50_500	abundant	10	0.94275	0.037194649	0.406636964	0.227863542	0.8936	0.148715171	0.500537219	0.159063816	0.055989744	0.04086412	0.944010256	0.04086412	0.593363036	0.227863542
CLR	200	500	200_500	abundant	10	0.98069	0.002561151	1	0	0.2276	0.102446044	0.359586317	0.136380576	0	0	1	0	0	0
CLR	500	500	500_500	abundant	10	0.97974	0.002112349	1	0	0.1896	0.084493978	0.310428892	0.11892465	0	0	1	0	0	0
CLR	50	200	50_200	abundant	1	0.947675	0.01911097	0.100539405	0.033653996	0.5685	0.294876708	0.164839884	0.058212515	0.048494949	0.022017916	0.951505051	0.022017916	0.899460595	0.033653996
CLR	200	200	200_200	abundant	1	0.989975	0.000130558	0	0	0	0	0	0	2.53E-05	0.000131877	0.999974747	0.000131877	0.04	0.196946386
CLR	500	200	500_200	abundant	1	0.99	0	0	0	0	0	0	0	0	0	1	0	0	0
CLR	50	200	50_200	abundant	2	0.956525	0.016761605	0.144872627	0.041803419	0.6515	0.286255431	0.224812464	0.058368012	0.040393939	0.019457506	0.959606061	0.019457506	0.855127373	0.041803419
CLR	200	200	200_200	abundant	2	0.989995	5.00E-05	0	0	0	0	0	0	5.05E-06	5.05E-05	0.999994949	5.05E-05	0.01	0.1
CLR	500	200	500_200	abundant	2	0.99	0	0	0	0	0	0	0	0	0	1	0	0	0
CLR	50	200	50_200	abundant	5	0.9696	0.013460942	0.25702956	0.124924491	0.7445	0.280592357	0.332510066	0.078315283	0.028126263	0.015934387	0.971873737	0.015934387	0.74297044	0.124924491
CLR	200	200	200_200	abundant	5	0.99006	0.000163299	0.12	0.326598632	0.006	0.016329932	0.011428571	0.031104632	0	0	1	0	0	0
CLR	500	200	500_200	abundant	5	0.990005	5.00E-05	0.01	0.1	5.00E-04	0.005	0.000952381	0.00952381	0	0	1	0	0	0
CLR	50	200	50_200	abundant	10	0.97981	0.01119609	0.390407393	0.176709123	0.817	0.203531945	0.477056169	0.105316247	0.018545455	0.012758734	0.981454545	0.012758734	0.609592607	0.176709123
CLR	200	200	200_200	abundant	10	0.990725	0.000792563	0.67	0.472581563	0.0725	0.079256329	0.126122279	0.124990283	0	0	1	0	0	0
CLR	500	200	500_200	abundant	10	0.99038	0.000482627	0.48	0.502116732	0.038	0.048262749	0.069288538	0.085461248	0	0	1	0	0	0
ALR	50	500	50_500	abundant	1	0.951045	0.009576142	0.082547891	0.047844593	0.0928	0.058914079	0.084495438	0.048499869	0.026948718	0.010319252	0.973051282	0.010319252	0.917452109	0.047844593
ALR	200	500	200_500	abundant	1	0.962815	0.006764679	0.087287013	0.065441354	0.0598	0.051756618	0.067554004	0.052358095	0.014030769	0.007760732	0.985969231	0.007760732	0.912712987	0.065441354
ALR	500	500	500_500	abundant	1	0.96403	0.005728636	0.092075158	0.073285825	0.0516	0.046898127	0.063203783	0.053130949	0.012574359	0.006215901	0.987425641	0.006215901	0.907924842	0.073285825
ALR	50	500	50_500	abundant	2	0.95859	0.009095004	0.173649886	0.074046274	0.161	0.074637169	0.160961879	0.064441838	0.020958974	0.00985855	0.979041026	0.00985855	0.826350114	0.074046274
ALR	200	500	200_500	abundant	2	0.96749	0.00626195	0.188248057	0.118081533	0.0816	0.059403091	0.104036031	0.061769421	0.009794872	0.007371719	0.990205128	0.007371719	0.801751943	0.141916375
ALR	500	500	500_500	abundant	2	0.968535	0.004420599	0.221880679	0.135553099	0.0982	0.065201785	0.128566215	0.072721451	0.009148718	0.005227081	0.990851282	0.005227081	0.778119321	0.135553099
ALR	50	500	50_500	abundant	5	0.96923	0.006568758	0.384447037	0.121810909	0.2734	0.082489301	0.306628409	0.073230575	0.012928205	0.007369483	0.987071795	0.007369483	0.615552963	0.121810909
ALR	200	500	200_500	abundant	5	0.97444	0.004168351	0.540322151	0.175259514	0.2262	0.087556966	0.299594966	0.088206512	0.006374359	0.005135067	0.993625641	0.005135067	0.459677849	0.175259514
ALR	500	500	500_500	abundant	5	0.974655	0.004282154	0.537729208	0.178791338	0.2016	0.075781717	0.279701294	0.087555838	0.005523077	0.004840878	0.994476923	0.004840878	0.452270792	0.176360784
ALR	50	500	50_500	abundant	10	0.975215	0.006241461	0.544834938	0.134343603	0.4194	0.100803038	0.458651789	0.082368646	0.010533333	0.007104511	0.989466667	0.007104511	0.455165062	0.134343603
ALR	200	500	200_500	abundant	10	0.98013	0.00331405	0.736489325	0.14614551	0.359	0.088140155	0.470662026	0.086966851	0.00394359	0.003441027	0.99605641	0.003441027	0.263510675	0.14614551
ALR	500	500	500_500	abundant	10	0.980835	0.002647712	0.778754105	0.138668605	0.3514	0.097245082	0.471781892	0.094496662	0.003025641	0.002646689	0.996974359	0.002646689	0.221245895	0.138668605
ALR	50	200	50_200	abundant	1	0.980955	0.003302199	0.087619959	0.061264042	0.1	0.076870611	0.090961617	0.063955999	0.010146465	0.003559753	0.989853535	0.003559753	0.912380041	0.061264042
ALR	200	200	200_200	abundant	1	0.984425	0.00342036	0.092144932	0.087773207	0.063	0.063810008	0.069697993	0.063342415	0.006267677	0.003664606	0.993732323	0.003664606	0.877855068	0.177520517
ALR	500	200	500_200	abundant	1	0.985435	0.00304151	0.113131659	0.120433544	0.0645	0.073613446	0.075718814	0.078734443	0.005262626	0.003243194	0.994737374	0.003243194	0.856868341	0.192462239
ALR	50	200	50_200	abundant	2	0.98347	0.003526824	0.155322873	0.090526649	0.1385	0.091523304	0.140614349	0.083526596	0.007994949	0.003647665	0.992005051	0.003647665	0.844677127	0.090526649
